CUSTOMER_ID 	FIRST_NAME	CREDIT
1	Mia	5000
2	Emma	0
3	Hannah	3000
4	Sofia	8000
5	Anna	0
6	Emilia	3000
7	Lina	3000
8	Marie	10000
9	Lena	9000
10	Mila	6000
11	Emily	9000
12	Lea	5000
13	Leonie	3000
14	Amelie	2000
15	Sophie	5000
16	Johanna	6000
17	Luisa	7000
18	Clara	6000
19	Lilly	9000
20	Laura	6000
21	Nele	1000
22	Lara	7000
23	Charlotte	5000
24	Leni	1000
25	Maja	5000
26	Frieda	9000
27	Mathilda	0
28	Ida	7000
29	Ella	0
30	Pia	5000
31	Sarah	7000
32	Lia	9000
33	Lotta	7000
34	Greta	9000
35	Melina	7000
36	Julia	3000
37	Paula	6000
38	Lisa	3000
39	Marlene	9000
40	Zoe	2000
41	Alina	9000
42	Victoria	8000
43	Mira	9000
44	Elisa	1000
45	Isabella	0
46	Helena	7000
47	Josephine	2000
48	Mara	3000
49	Isabell	2000
50	Nora	5000
51	Ben	10000
52	Jonas	8000
53	Leon	0
54	Elias	5000
55	Finn	7000
56	Noah	8000
57	Paul	9000
58	Luis	8000
59	Lukas	0
60	Luca	5000
61	Felix	10000
62	Maximilian	4000
63	Henry	4000
64	Max	1000
65	Emil	1000
66	Moritz	7000
67	Jakob	10000
68	Niklas	7000
69	Tim	2000
70	Julian	6000
71	Oskar	4000
72	Anton	8000
73	Philipp	6000
74	David	1000
75	Liam	0
76	Alexander	8000
77	Theo	3000
78	Tom	7000
79	Mats	10000
80	Jan	5000
81	Matteo	10000
82	Samuel	9000
83	Erik	0
84	Fabian	5000
85	Milan	7000
86	Leo	5000
87	Jonathan	1000
88	Rafael	1000
89	Simon	10000
90	Vincent	8000
91	Lennard	7000
92	Carl	2000
93	Linus	1000
94	Hannes	5000
95	Jona	7000
96	Mika	8000
97	Jannik	1000
98	Nico	1000
99	Till	6000
100	Johannes	7000
